Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa04668:TNF signaling pathway	6	6.976744186046512	1.856139926816693E-4	CFLAR, CASP10, MAP2K1, SOCS3, CREB1, PIK3CD	36	107	6879	10.714953271028037	0.027821593522868393	0.027821593522868393	0.22193569123216683
UP_SEQ_FEATURE	mutagenesis site	19	22.093023255813954	6.893535893942484E-4	TNFRSF6B, CFLAR, EGR2, MAP2K1, SOCS3, PIGV, FSCN1, PIK3CD, UBE4B, CANT1, CASP10, HIST2H2AC, CD46, NMRAL1, PTK6, RAB11A, QPRT, PPP4C, SLC9A1	74	2191	20063	2.3511231450528576	0.18068928732360356	0.18068928732360356	0.9120667587165898
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	22	25.581395348837212	0.001512694680158892	NUDT1, MAP2K1, FSCN1, TAX1BP3, HIST2H4A, TIMP2, SYNGR2, CANT1, HIST2H4B, WNT3, EIF3B, HIST2H2AC, CD46, ARPC5L, RAB11A, IDH1, QPRT, ANGPT1, SH3BGRL3, SYTL1, SLC9A1, MVP	71	2811	18224	2.008848537686453	0.18483798518437478	0.18483798518437478	1.7591251636688288
KEGG_PATHWAY	hsa05203:Viral carcinogenesis	6	6.976744186046512	0.003507217102129432	EGR2, CREB1, PIK3CD, HIST2H4A, RASA2, HIST2H4B	36	205	6879	5.592682926829268	0.41376470022437395	0.23433995809130403	4.117981888866518
GOTERM_BP_DIRECT	GO:0016477~cell migration	5	5.813953488372093	0.004934468996304523	PTK6, ARPC5L, FSCN1, SLC9A1, PRSS37	68	172	16792	7.178522571819425	0.9321866313495477	0.9321866313495477	6.9542323624695594
KEGG_PATHWAY	hsa04917:Prolactin signaling pathway	4	4.651162790697675	0.005443753572237974	PRLR, MAP2K1, SOCS3, PIK3CD	36	71	6879	10.76525821596244	0.5638246635290728	0.24161971422026118	6.324581684006569
KEGG_PATHWAY	hsa05161:Hepatitis B	5	5.813953488372093	0.005969481789118298	CASP10, EGR2, MAP2K1, CREB1, PIK3CD	36	145	6879	6.589080459770115	0.5975080959384683	0.2034935678244425	6.915540731359848
GOTERM_CC_DIRECT	GO:0005737~cytoplasm	31	36.04651162790697	0.007641377460446385	CYTH1, DIDO1, EIF3B, NMRAL1, PTK6, IDH1, PPP4C, RASA2, CFLAR, NUDT1, EGR2, NBPF10, MAP2K1, TTC7A, SOCS3, UBE4B, FSCN1, NBPF11, PRPF3, TAX1BP3, DCAF6, NAA20, ARPC5L, PCMTD2, QPRT, OGFR, SPATS2L, SH3BGRL3, TREML1, SLC9A1, MVP	71	5222	18224	1.523737599861906	0.6449680594249352	0.4041544322770665	8.600420090151095
UP_SEQ_FEATURE	domain:DED 1	2	2.3255813953488373	0.010876487250966757	CFLAR, CASP10	74	3	20063	180.74774774774775	0.9575964774736997	0.7940788439079162	13.524254503634324
UP_SEQ_FEATURE	domain:DED 2	2	2.3255813953488373	0.010876487250966757	CFLAR, CASP10	74	3	20063	180.74774774774775	0.9575964774736997	0.7940788439079162	13.524254503634324
KEGG_PATHWAY	hsa05034:Alcoholism	5	5.813953488372093	0.011906526573241925	MAP2K1, HIST2H2AC, CREB1, HIST2H4A, HIST2H4B	36	177	6879	5.39783427495292	0.8380799364870529	0.3051994827293012	13.356190600886041
KEGG_PATHWAY	hsa04915:Estrogen signaling pathway	4	4.651162790697675	0.0135598994957345	ADCY9, MAP2K1, CREB1, PIK3CD	36	99	6879	7.720538720538721	0.87446950154161	0.2923939422281675	15.075630901993009
KEGG_PATHWAY	hsa04916:Melanogenesis	4	4.651162790697675	0.013931099975959598	WNT3, ADCY9, MAP2K1, CREB1	36	100	6879	7.643333333333333	0.8814493960552644	0.2626044054017981	15.45734001157565
GOTERM_CC_DIRECT	GO:0005886~plasma membrane	25	29.069767441860467	0.017096036708848156	NUDT1, APH1A, TAS2R4, TTC7A, MAP2K1, CYTH1, GNA12, PIK3CD, TMEM219, TAX1BP3, CANT1, HMOX2, IGHV4-39, WNT3, ADCY9, PRLR, CD46, RAB11A, ANGPT1, TREML1, PPP4C, SYTL1, OR8G1, FAM126B, SLC9A1	71	4121	18224	1.5571223995269845	0.9025017898565469	0.5397446122885678	18.303741503502437
