Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa04962:Vasopressin-regulated water reabsorption	3	10.714285714285714	0.003982399490692942	ADCY9, CREB1, RAB11A	16	44	6879	29.313920454545457	0.37303903186918563	0.37303903186918563	4.457257408633197
KEGG_PATHWAY	hsa05034:Alcoholism	4	14.285714285714285	0.006066675374050393	MAP2K1, CREB1, HIST2H4A, HIST2H4B	16	177	6879	9.716101694915254	0.5093198713978839	0.29951436231560313	6.717075606431555
UP_KEYWORDS	Nucleus	13	46.42857142857143	0.012494588398927484	TFAP4, MAP2K1, NAA20, CREB1, NMRAL1, YPEL3, OGFR, INO80E, HIST2H4A, PPP4C, DIDO1, HIST2H4B, MVP	26	5244	20581	1.9623379099923721	0.7119890877574366	0.7119890877574366	13.002541629806974
SMART	SM00417:H4	2	7.142857142857142	0.014821864940627687	HIST2H4A, HIST2H4B	11	15	10057	121.90303030303029	0.16405601908733747	0.16405601908733747	9.160212263123213
UP_KEYWORDS	Acetylation	10	35.714285714285715	0.015473608964261877	HMOX2, MAP2K1, RAB11A, IDH1, OGFR, HIST2H4A, PPP4C, DIDO1, HIST2H4B, MVP	26	3424	20581	2.3118484902947523	0.7864454334189999	0.5378803546904761	15.866213600499767
SMART	SM00803:TAF	2	7.142857142857142	0.015802922633018256	HIST2H4A, HIST2H4B	11	16	10057	114.28409090909092	0.17399086093521599	0.09114955077043396	9.740629230641474
INTERPRO	IPR019809:Histone H4, conserved site	2	7.142857142857142	0.017216983891491656	HIST2H4A, HIST2H4B	24	14	18559	110.4702380952381	0.659298658179651	0.659298658179651	16.07597950599693
UP_SEQ_FEATURE	chain:Histone H4	2	7.142857142857142	0.017310017465508143	HIST2H4A, HIST2H4B	26	14	20063	110.23626373626375	0.8344601803319294	0.8344601803319294	17.707522486302175
GOTERM_BP_DIRECT	GO:0010629~negative regulation of gene expression	3	10.714285714285714	0.017534388487038186	MAP2K1, CD46, CREB1	26	137	16792	14.142616507580014	0.9892044777262623	0.9892044777262623	20.599578592576872
INTERPRO	IPR001951:Histone H4	2	7.142857142857142	0.018435857408626938	HIST2H4A, HIST2H4B	24	15	18559	103.10555555555555	0.6845297133094789	0.43833258355987825	17.120449476433418
KEGG_PATHWAY	hsa04915:Estrogen signaling pathway	3	10.714285714285714	0.019057779057363753	ADCY9, MAP2K1, CREB1	16	99	6879	13.028409090909092	0.8947357217136068	0.5278351291061945	19.737610043489116
KEGG_PATHWAY	hsa04916:Melanogenesis	3	10.714285714285714	0.01942233286269274	ADCY9, MAP2K1, CREB1	16	100	6879	12.898125	0.8992154986665692	0.4365590108237959	20.07779041077111
INTERPRO	IPR004823:TATA box binding protein associated factor (TAF)	2	7.142857142857142	0.019653284892485846	HIST2H4A, HIST2H4B	24	16	18559	96.66145833333333	0.7078934644748442	0.33649058264236353	18.15197588438595
UP_SEQ_FEATURE	cross-link:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in ubiquitin); alternate	2	7.142857142857142	0.022202664106105368	HIST2H4A, HIST2H4B	26	18	20063	85.73931623931625	0.9010008390004326	0.6853586788109873	22.166518440140926
UP_KEYWORDS	Manganese	3	10.714285714285714	0.023001874113619782	ADCY9, IDH1, PPP4C	26	194	20581	12.240880253766852	0.9001198160880401	0.5360265697314466	22.72494209785716
KEGG_PATHWAY	hsa04725:Cholinergic synapse	3	10.714285714285714	0.023626042083893222	ADCY9, MAP2K1, CREB1	16	111	6879	11.619932432432433	0.9390331280473776	0.4284966471527366	23.906518560704416
GOTERM_BP_DIRECT	GO:0045653~negative regulation of megakaryocyte differentiation	2	7.142857142857142	0.02647525803501494	HIST2H4A, HIST2H4B	26	18	16792	71.76068376068378	0.9989604860060366	0.9677585050910578	29.522326690830326
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	9	32.142857142857146	0.029565027291707697	MAP2K1, CD46, RAB11A, IDH1, ANGPT1, QPRT, HIST2H4A, HIST2H4B, MVP	26	2811	18224	2.244150726541335	0.8534951113699587	0.8534951113699587	26.27892676191186
